06-02 14:33:06.322   14924-14924   C01332/com.flo...ony/UIAbility  com.flowdesk.harmony  I     [ui_ability_impl.cpp478]wnd call, AfterBackground
06-02 14:33:06.322   14924-14924   C03900/com.flo...k.harmony/Ace  com.flowdesk.harmony  I     [(-2:100000:singleton)] [com.flowdesk.harmony][entry][100000]: window background
06-02 14:33:06.323   14924-14924   C03900/com.flo...k.harmony/Ace  com.flowdesk.harmony  I     [(100000:100000:scope)] Update application state , state: ON_HIDE
06-02 14:33:06.323   14924-14924   C03922/com.flo...AceNavigation  com.flowdesk.harmony  I     [(100000:100000:scope)] can't find inner navigation
06-02 14:33:06.323   14924-14924   C03F00/com.flo...y/ArkCompiler  com.flowdesk.harmony  I     [gc] HintGC degree:0 reason:Trigger by ArkUI
06-02 14:33:06.323   14924-14924   C01406/com.flo...mony/OHOS::RS  com.flowdesk.harmony  I     RSSurfaceNode::SetAbilityState, surfaceNodeId:[64098091925506], ability state: background
06-02 14:33:06.323   14924-14924   C04202/com.flo...rmony/WMSMain  com.flowdesk.harmony  I     SetFrameRateLinkerEnable: rate 0, linkerId 64098091925504
06-02 14:33:06.324   14924-14924   C0420A/com.flo...rmony/WMSLife  com.flowdesk.harmony  I     NotifyAfterDidBackground: reason: 4
06-02 14:33:06.324   14924-14924   C04208/com.flo...ony/WMSLayout  com.flowdesk.harmony  I     NotifyWindowStatusChange: id:1036, windowMode:1, windowStatus:3, lastWindowStatus:1, skipRedundantWindowStatusNotifications:0
06-02 14:33:06.324   14924-14924   C04208/com.flo...ony/WMSLayout  com.flowdesk.harmony  I     NotifyWindowStatusDidChange: Id:1036, WindowMode:1, windowStatus:3, lastWindowStatus:1, listenerSize:0, rect:[0 0 1316 2832]
06-02 14:33:06.324   14924-14924   C0420A/com.flo...rmony/WMSLife  com.flowdesk.harmony  I     Hide: Window hide end, id:1036, type: 1
06-02 14:33:06.324   14924-14924   C02D07/com.flo...y/ObserverMgr  com.flowdesk.harmony  I     start to handle background
06-02 14:33:06.324   14924-14924   C0420A/com.flo...rmony/WMSLife  com.flowdesk.harmony  I     NotifyAfterDidBackground execute
06-02 14:33:06.324   14924-14924   C01332/com.flo...ony/UIAbility  com.flowdesk.harmony  I     [JUA2015]JsUIAbility call js, name: onDidBackground
06-02 14:33:06.324   14924-14924   C01332/com.flo...ony/UIAbility  com.flowdesk.harmony  I     [JUA2060]end, name: onDidBackground, time: 0
06-02 14:33:06.487   14924-14924   C01317/com.flo...armony/AppKit  com.flowdesk.harmony  I     [MTHRD2862]start
06-02 14:33:06.487   14924-14924   C03F00/com.flo...y/ArkCompiler  com.flowdesk.harmony  I     [gc] app is inBackground
06-02 14:33:06.487   14924-14924   C03F01/com.flo....harmony/NAPI  com.flowdesk.harmony  I     [StopIdleMonitorTimerTask] Get timerMutex_
06-02 14:33:07.209   14924-14924   C01560/com.flo...WifiNAPIUtils  com.flowdesk.harmony  I     Call wifi func: GetIpInfo (start)
06-02 14:33:07.209   14924-14924   C01560/com.flo...WifiNAPIUtils  com.flowdesk.harmony  I     Call wifi func: GetIpInfo (end), time cost:668us, 0ms
06-02 14:33:07.211   14924-14924   C015B0/com.flo...mony/NETSTACK  com.flowdesk.harmony  E     [socket_exec.cpp:565] get TFO failed, fd=56, errno=95
06-02 14:33:07.213   14924-14924   C015B0/com.flo...mony/NETSTACK  com.flowdesk.harmony  E     [socket_exec.cpp:565] get TFO failed, fd=56, errno=95
06-02 14:33:07.488   14924-15022   C02D10/com.flo...RemoteService  com.flowdesk.harmony  I     GetHiViewRemoteService: refresh remote service instance.
06-02 14:33:07.495   14924-15022   C03F01/com.flo....harmony/NAPI  com.flowdesk.harmony  I     [LoadReportDataFunc] ArkIdleMonitor: LoadReportDataFunc success.
06-02 14:33:07.496   14924-15022   C03F01/com.flo....harmony/NAPI  com.flowdesk.harmony  I     [ReportDataToRSS] ArkIdleMonitor: ReportDataToRSS 0, pid: 14924, bundleName: com.flowdesk.harmony
06-02 14:33:07.512   14924-14924   C03F01/com.flo....harmony/NAPI  com.flowdesk.harmony  I     [ReportDataToRSS] ArkIdleMonitor: ReportDataToRSS 1, pid: 14924, bundleName: com.flowdesk.harmony
06-02 14:33:23.490   14924-14981   C02D06/com.flo...rmony/XCollie  com.flowdesk.harmony  I     checker thread may be blocked, reset next tick time.now:109329329 expect:109315853 interval:3000
06-02 14:33:23.491   14924-14924   C01560/com.flo...WifiNAPIUtils  com.flowdesk.harmony  I     Call wifi func: GetIpInfo (start)
06-02 14:33:23.492   14924-14924   C01560/com.flo...WifiNAPIUtils  com.flowdesk.harmony  I     Call wifi func: GetIpInfo (end), time cost:1445us, 1ms
06-02 14:33:23.494   14924-15063   C015B0/com.flo...mony/NETSTACK  com.flowdesk.harmony  E     [socket_exec.cpp:759] recv fail, socket:56, errno:4, revent:8
06-02 14:33:23.503   14924-15063   C015B0/com.flo...mony/NETSTACK  com.flowdesk.harmony  I     [socket_exec.cpp:501] udp socket handle has been finalized, manager is invalid or ERROR listener is not registered
06-02 14:33:23.510   14924-14924   C015B0/com.flo...mony/NETSTACK  com.flowdesk.harmony  E     [socket_exec.cpp:565] get TFO failed, fd=56, errno=95
06-02 14:33:23.510   14924-14924   C015B0/com.flo...mony/NETSTACK  com.flowdesk.harmony  E     [socket_exec.cpp:2904] send failed, socket is 56, errno is 103
